,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,MSFT__hl,MSFT__co,MSFT__ocp,MSFT__log_returns,MSFT__lret_squared,MSFT__earning_horizon1,MSFT__earning_horizon2,MSFT__earning_horizon3,MSFT__earning_horizon4,AAPL,MSFT
2015-09-22,0.0141670551349727,-0.005640236540038,-0.0096299153740634,-0.0152701519141014,0.0002331775394797,0,0,0,0,0.0107908895030821,-0.0035682494901389,-0.009896055340367,-0.013464304830506,0.0001812875045687,0,0,0,0,0.2134511001649972,0.1952210184817698
2015-09-23,0.0111480263746454,0.0052005572083018,0.005731685370964,0.0109322425792655,0.0001195139278119,0,0,0,0,0.0143778696122399,0.0018233667496211,0.0041451619279783,0.0059685286775996,3.562333457532968e-05,0,0,0,0,0.1459624742949824,0.1733592454526192
2015-09-24,0.0180710924438852,0.0091611900187482,-0.0086356246631815,0.0005255653555669,2.762189429721777e-07,0,0,0,0,0.0128530573643024,0.006184878265619,-0.0077821404420546,-0.0015972621764355,2.551246460271538e-06,0,0,0,0,0.2275296718040776,0.179869762252663
2015-09-25,0.0168920565511597,0.0038348910065994,0.0009350156138458,0.0047699066204454,2.2752009167768932e-05,0,0,0,0,0.0203293536486821,0.0099830812725339,0.0006859943848553,0.0106690756573892,0.000113829175383,0,0,0,0,0.1863913615733615,0.2061322198166951
2015-09-28,0.0193229167018529,-0.0136517729158684,-0.0016036518204702,-0.0152554247363387,0.000232727983886,0,0,0,0,0.0164102568453454,-0.0134268926130637,-0.000673502892762,-0.0141003955058258,0.0001988211534207,0,0,0,0,0.1719035679529427,0.1284366055903109
2015-09-29,0.0326841108527738,-0.0244058661872144,-0.0033628350274993,-0.0277687012147138,0.000771100767152,0,0,0,0,0.008529502287363,-0.0009197517318875,-0.0029833642322818,-0.0039031159641695,1.523431422975551e-05,0,0,0,0,0.2818963094669538,0.1064301211361728
2015-09-30,0.0222109580264688,-0.0096539911895605,0.0021767533425997,-0.0074772378469605,5.59090858200189e-05,0,0,0,0,0.0158301911712828,0.0158301911712828,0.002068253064059,0.017898444235342,0.0003203543060456,0,0,0,0,0.2329819291813391,0.090876157148948
2015-10-01,0.017364031764756,-0.0052355563051774,-0.00174399264536,-0.0069795489505377,4.871410355295277e-05,0,0,0,0,0.0208105225604042,-0.0007956133196694,0.0001163641294758,-0.0006792491901936,4.613794623787796e-07,0,0,0,0,0.1899692320736412,0.2334729128881376
2015-10-02,0.0257058080163485,0.0213899652108242,-0.0047111075078967,0.0166788577029275,0.0002781842942745,0,0,0,0,0.0280633524652372,0.0189499419520047,-0.0012444144374139,0.0177055275145909,0.0003134857045699,0,0,0,0,0.2105077789906434,0.254292582620248
2015-10-05,0.0164622649980416,0.0097916138632632,-0.0048606632596138,0.0049309506036494,2.431427385563091e-05,0,0,0,0,0.0356481997722631,0.0340902924379298,0.0038800558627475,0.0379703483006772,0.0014417473500747,0,0,0,0,0.1754064079477044,0.2253513025936789
2015-10-06,0.0171177185817822,0.009180156272053,-0.0025320538504586,0.0066481024215945,4.4197265808011e-05,0,0,0,0,0.0194971360894045,0.0121727053650298,-0.006374388518854,0.0057983168461759,3.3620478248647614e-05,0,0,0,0,0.1741603393425194,0.209075714443988
2015-10-07,0.0211524530340327,-0.0130714264429123,0.0004495495377136,-0.0126218769051984,0.0001593117766099,0,0,0,0,0.0268055075913847,-0.0119736303288955,0.0004464333240956,-0.0115271970048,0.0001328762707874,0,0,0,0,0.1994839757112956,0.2768200758422297
